Order,Movement,Optimal_Description,Non_Optimal_Description
m01,Deep squat,Subject bends the knees to descend the body toward the floor with the heels on the floor the knees aligned over the feet the upper body remains aligned in the vertical plane,Subject does not maintain upright trunk posture unable to squat past parallel demonstrates knee valgus collapse or trunk flexion greater than 30 degrees
m02,Hurdle step,Subject steps over the hurdle while the hips knees and ankles of the standing leg remain vertical,Subject does not maintain upright trunk posture has less than 89 degrees hip flexion does not maintain femur in neutral position
m03,Inline lunge,Subject takes a step forward and lowers the body toward the floor to make contact with the knee behind the front foot,Subject unable to maintain upright trunk posture has rear knee reach the floor or has a lateral deviation in forward step
m04,Side lunge,Subject takes a step to the side and lowers the body toward the floor,Subject displays moderate to significant knee valgus collapse pelvis drops or rises more than 5 degrees trunk angle of less than 30 degrees thigh angle of more than 45 degrees center of knee is anterior to the toes
m05,Sit to stand,Subject lifts the body from a chair to a standing position,Subject unable to maintain upright trunk posture pelvis rises 5 degrees or more uses arms or compensatory motion to stand unable to maintain balance or shifts weight to one leg displays moderate to significant knee valgus collapse
m06,Standing active straight leg raise,Subject raises one leg in front of the body while keeping the leg straight and the body vertical,Subject unable to maintain upright trunk posture pelvis deviates 5 degrees or more more than 6 degrees of knee flexion and less than 59 degrees of hip flexion
m07,Standing shoulder abduction,Subject raises one arm to the side by a lateral rotation keeping the elbow and wrist straight,Subject unable to maintain upright trunk posture or head in neutral position lift arm does not remain in plane of motion less than 160 degrees of abduction
m08,Standing shoulder extension,Subject extends one arm rearward keeping the elbow and wrist straight,Subject unable to maintain upright trunk posture or head in neutral position lift arm does not remain in sagittal plane less than 45 degrees of extension
m09,Standing shoulder internal-external rotation,Subject bends one elbow to a 90 degree angle and rotates the forearm forward and backward,Subject unable to maintain upright trunk posture or head in neutral position arm positioning less than 60 degrees of motion in both directions
m10,Standing shoulder scaption,Subject raises one arm in front of the chest until reaching the shoulders height keeping the elbow and wrist straight,Subject unable to maintain upright trunk posture or head in neutral position arm lift is not maintained in correct plane less than 90 degrees of motion
